task_id	host_id	cursor	role	package	crate_path	worktree	branch	state	base_commit	artifact_commit
/root/implement_cli_tui	collaboration	-	implement	internal/cli/tui	crates/ployz-internal-cli-tui	/tmp/ployz-cli-tui-impl	package/cli-tui	integrated	a4801c1f8af0a8aff3918c11f13bec02e789e939	a5743627cef84a4a18cf47c270597ff77596857e
/root/implement_machine_api_pb	collaboration	-	implement	internal/machine/api/pb	crates/ployz-internal-machine-api-pb	/tmp/ployz-machine-api-pb-impl	package/machine-api-pb	integrated	d3661c923de76b22d9d36d543b0eaeac0a1fec9c	99469a96e61d0165103489625588461803513107
019ff271-ea84-7472-bc18-541d0b2544cb	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/dns	crates/ployz-internal-dns	/home/codex/.codex/worktrees/e0f00950-abc5-4cea-8202-266fb0f6c807/ployz-rust-port	detached	archived-dependency-blocked	02e99778862c741e37a9734fcf4b1003a1fe488c	a3d7bdde8e37f5784aa279d1b003de858abe736b
019ff272-4b51-7483-bd88-31a648503338	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/corrosion	crates/ployz-internal-corrosion	/home/codex/.codex/worktrees/7b49c337-2477-4460-bb29-8e760ea5d0c9/ployz-rust-port	detached	archived-dependency-blocked	02e99778862c741e37a9734fcf4b1003a1fe488c	fae64c97edac08285ace03d080951b583236537e
019ff27b-335d-7191-9962-7defb89fc8a7	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	dependency	lossless-docker-engine-progress-streaming	migration/dependencies/lossless-docker-engine-progress-streaming.md	/home/codex/.codex/worktrees/e455ce01-b5fc-45e5-93bc-3d120734f48d/ployz-rust-port	detached	archived-decision-approved	84a81f8	b29c4da7aec16117497b40438b023971a45a9862
019ff27b-4e0f-7be0-9379-9108470a117d	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	dependency	prometheus-created-timestamp-prototext-parity	migration/dependencies/prometheus-created-timestamp-prototext-parity.md	/home/codex/.codex/worktrees/ec725d5f-2039-4eb7-a857-0e0559c0b35f/ployz-rust-port	detached	archived-decision-approved	84a81f8	07b7105e9934f2368ab6000fd71a9ec60024d7de
019ff431-9e69-7f21-b76a-04e4114c8e2e	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/sshexec	crates/ployz-internal-sshexec	/home/codex/.codex/worktrees/a49d5d43-7299-4f3b-9bf6-e951b02a7c4c/ployz-rust-port	detached	archived-dependency-blocked	41caa17e8da11cc1e51ed04c99d0208f51e170a8	-
019ff434-a235-7c82-b4cb-2cbc451512f3	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	dependency	in-process-ssh-client	migration/dependencies/in-process-ssh-client.md	/home/codex/.codex/worktrees/d2c6e296-cec5-4fe1-91a7-53f20c04d33a/ployz-rust-port	detached	archived-decision-approved	68cd4cbf2a6d94c600088f79e776676062148cb0	850050b
019ff43d-375d-7431-8c67-1b1f08102b88	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/docker	crates/ployz-internal-docker	/home/codex/.codex/worktrees/f336b0bd-5e08-4a81-8cef-db7be7ea918f/ployz-rust-port	detached	integrated	1e1e4bfa4d5a8ca53e499dee3462b5228f06757b	f36d04571a5ebae8d9111eebfdac63938eeba5f1
019ff445-428c-7910-86ba-e2829d7eaf85	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/metrics	crates/ployz-internal-metrics	/home/codex/.codex/worktrees/b0342f51-8713-4acf-9e01-0b32fa9d50ee/ployz-rust-port	detached	integrated	b42fb4c0ab4ac7212c9eba663c70eb839bdd52ee	a0832840872b616cda1e32409da5ff9beec5cd5a
